,county,state,population,male,female,median_age,region,female_percentage,cases,deaths,population_size,death_size,case_size
920,Lafourche,Louisiana,98214,48261,49953,37.5,South,50.86138432402713,34714,407,small population,low deaths,low cases
921,Lake,California,64148,31879,32269,45.6,West,50.303984535761046,3175,47,small population,low deaths,low cases
922,Lake of the Woods,Minnesota,3809,2037,1772,51.3,Midwest,46.52139669204516,921,7,small population,low deaths,low cases
923,Lamar,Alabama,13933,6800,7133,44.5,South,51.195004665183376,11991,280,small population,low deaths,low cases
924,Lamb,Texas,13262,6710,6552,36.0,South,49.40431307495099,5132,127,small population,low deaths,low cases
925,Lamoille,Vermont,25268,12591,12677,40.9,Northeast,50.17017571632104,4351,28,small population,low deaths,low cases
926,Lampasas,Texas,20640,10187,10453,42.2,South,50.64437984496124,6377,95,small population,low deaths,low cases
927,Lancaster,Nebraska,310094,155699,154395,33.3,Midwest,49.78974117525654,2324,42,small population,low deaths,low cases
928,Lander,Nevada,5746,3347,2399,37.2,West,41.75078315349808,1347,22,small population,low deaths,low cases
929,Lane,Kansas,1642,850,792,41.2,Midwest,48.23386114494519,79383,708,small population,low deaths,low cases
930,Langlade,Wisconsin,19164,9721,9443,48.2,Midwest,49.2746816948445,6725,107,small population,low deaths,low cases
931,Lanier,Georgia,10366,5183,5183,35.4,South,50.0,2693,32,small population,low deaths,low cases
932,Lapeer,Michigan,88202,44842,43360,43.9,Midwest,49.15988299585044,24259,476,small population,low deaths,low cases
933,Laramie,Wyoming,97692,49460,48232,36.9,West,49.37149408344593,31523,320,small population,low deaths,low cases
934,Larimer,Colorado,338161,168615,169546,35.9,West,50.137656323467226,108359,597,small population,low deaths,medium cases
935,Larue,Kentucky,14156,7027,7129,40.8,South,50.36027126306867,4800,80,small population,low deaths,low cases
936,Las Animas,Colorado,14179,7452,6727,46.1,West,47.44340221454264,4391,51,small population,low deaths,low cases
937,Lassen,California,31185,20671,10514,36.0,West,33.71492704826038,11310,66,small population,low deaths,low cases
938,Latah,Idaho,39239,19894,19345,28.3,West,49.30044088789215,7680,56,small population,low deaths,low cases
939,Latimer,Oklahoma,10495,5312,5183,41.3,South,49.385421629347306,2701,41,small population,low deaths,low cases
940,Lauderdale,Alabama,92585,44315,48270,41.4,South,52.13587514176162,9391,114,small population,low deaths,low cases
941,Laurel,Kentucky,60180,29412,30768,39.6,South,51.126620139581256,26890,287,small population,low deaths,low cases
942,Laurens,Georgia,47418,22497,24921,38.3,South,52.55599139567253,23011,320,small population,low deaths,low cases
943,Lavaca,Texas,19941,9684,10257,43.5,South,51.43673837821574,4894,124,small population,low deaths,low cases
944,Lawrence,Alabama,33171,16003,17168,42.2,South,51.75605197310904,16942,228,small population,low deaths,low cases
945,Le Flore,Oklahoma,49909,25067,24842,39.4,South,49.7745897533511,15481,119,small population,low deaths,low cases
946,Le Sueur,Minnesota,27983,14106,13877,41.2,Midwest,49.59082299967837,7469,55,small population,low deaths,low cases
947,Lea,New Mexico,70126,36137,33989,31.7,West,48.468471037846165,22913,410,small population,low deaths,low cases
948,Leake,Mississippi,22870,11533,11337,36.6,South,49.57149103629209,7632,127,small population,low deaths,low cases
949,Leavenworth,Kansas,80042,42933,37109,37.6,Midwest,46.361909997251445,24108,211,small population,low deaths,low cases
950,Lebanon,Pennsylvania,138674,67999,70675,41.2,Northeast,50.96485282028355,45456,571,small population,low deaths,low cases
951,Lee,Alabama,159287,78372,80915,31.4,South,50.79824467784565,8418,130,small population,low deaths,low cases
952,Leelanau,Michigan,21639,10742,10897,53.7,Midwest,50.35814963722907,4423,67,small population,low deaths,low cases
953,Leflore,Mississippi,29804,13916,15888,33.8,South,53.30828076768219,8616,183,small population,low deaths,low cases
954,Lehigh,Pennsylvania,362613,177051,185562,39.2,Northeast,51.17356520588064,111278,1388,small population,medium deaths,medium cases
955,Lemhi,Idaho,7798,3948,3850,52.3,West,49.371633752244165,1750,28,small population,low deaths,low cases
956,Lenawee,Michigan,98474,49815,48659,41.7,Midwest,49.41304303674066,30765,364,small population,low deaths,low cases
957,Lenoir,North Carolina,57227,27391,29836,42.2,South,52.136229402205245,20187,247,small population,low deaths,low cases
958,Leon,Florida,288102,136894,151208,30.7,South,52.484189627284785,4308,95,small population,low deaths,low cases
959,Leslie,Kentucky,10472,5067,5405,41.8,South,51.613827349121465,5206,60,small population,low deaths,low cases
960,Letcher,Kentucky,22676,11087,11589,42.2,South,51.10689715999295,9835,137,small population,low deaths,low cases
961,Levy,Florida,39961,19364,20597,46.8,South,51.54275418533069,12685,187,small population,low deaths,low cases
962,Lewis,Idaho,3845,1911,1934,48.3,West,50.29908972691808,6951,96,small population,low deaths,low cases
963,Lewis and Clark,Montana,67077,33186,33891,41.0,West,50.525515452390536,21796,202,small population,low deaths,low cases
964,Lexington,South Carolina,286316,139495,146821,39.0,South,51.27935567694436,2720,34,small population,low deaths,low cases
965,Liberty,Florida,8365,5110,3255,40.3,South,38.912133891213394,22202,414,small population,low deaths,low cases
966,Licking,Ohio,172293,84398,87895,39.7,Midwest,51.01484099760292,52562,521,small population,low deaths,low cases
967,Limestone,Alabama,93052,46427,46625,39.5,South,50.10639212483342,6099,137,small population,low deaths,low cases
968,Lincoln,Arkansas,13695,8590,5105,38.6,South,37.27637824023366,4899,38,small population,low deaths,low cases
969,Linn,Iowa,222121,109540,112581,37.5,Midwest,50.68453680651537,33200,335,small population,low deaths,low cases
970,Lipscomb,Texas,3469,1840,1629,34.9,South,46.95877774574805,810,17,small population,low deaths,low cases
971,Litchfield,Connecticut,183031,90447,92584,47.2,Northeast,50.58378088957608,41655,529,small population,low deaths,low cases
972,Little River,Arkansas,12417,6090,6327,42.6,South,50.95433679632762,3881,108,small population,low deaths,low cases
973,Live Oak,Texas,12123,6634,5489,42.2,South,45.27757155819517,2425,43,small population,low deaths,low cases
974,Livingston,Illinois,36324,18614,17710,42.0,Midwest,48.75564365158022,14429,140,small population,low deaths,low cases
975,Llano,Texas,20640,10138,10502,57.6,South,50.88178294573643,5107,101,small population,low deaths,low cases
976,Logan,Arkansas,21757,10643,11114,41.5,South,51.0824102587673,12893,204,small population,low deaths,low cases
977,Long,Georgia,18156,8872,9284,32.7,South,51.13461114782992,3477,36,small population,low deaths,low cases
978,Lonoke,Arkansas,72206,35667,36539,36.1,South,50.60382793673656,23914,270,small population,low deaths,low cases
979,Lorain,Ohio,306713,151054,155659,41.8,Midwest,50.75070179614167,88862,1057,small population,medium deaths,low cases
980,Los Alamos,New Mexico,18356,9353,9003,42.5,West,49.04663325343212,4582,25,small population,low deaths,low cases
981,Los Angeles,California,10098052,4976788,5121264,36.2,West,50.71536569627489,3691301,35250,large population,high deaths,high cases
982,Loudon,Tennessee,51610,25234,26376,47.5,South,51.10637473357876,18722,226,small population,low deaths,low cases
983,Loudoun,Virginia,385143,190737,194406,36.0,South,50.476316588903344,97415,446,small population,low deaths,low cases
984,Louisa,Iowa,11223,5724,5499,41.2,Midwest,48.997594226142745,8914,102,small population,low deaths,low cases
985,Loup,Nebraska,585,291,294,56.9,Midwest,50.256410256410255,92,0,small population,low deaths,low cases
986,Love,Oklahoma,9933,4958,4975,40.1,South,50.08557334138729,3959,46,small population,low deaths,low cases
987,Loving,Texas,102,58,44,55.4,South,43.13725490196079,399,1,small population,low deaths,low cases
988,Lowndes,Alabama,10236,4830,5406,41.6,South,52.81359906213364,21214,255,small population,low deaths,low cases
989,Lubbock,Texas,301454,148631,152823,30.7,South,50.69529679486754,113170,1392,small population,medium deaths,medium cases
990,Lucas,Iowa,8597,4318,4279,44.6,Midwest,49.773176689542865,125215,1517,small population,medium deaths,medium cases
991,Luce,Michigan,6364,3743,2621,44.7,Midwest,41.18478944060339,1668,21,small population,low deaths,low cases
992,Lumpkin,Georgia,31951,15551,16400,37.2,South,51.3285969140246,8919,139,small population,low deaths,low cases
993,Luna,New Mexico,24264,12020,12244,37.8,West,50.46158918562479,8006,151,small population,low deaths,low cases
994,Lunenburg,Virginia,12278,6261,6017,45.5,South,49.006352826193186,3364,45,small population,low deaths,low cases
995,Luzerne,Pennsylvania,317884,156972,160912,43.0,Northeast,50.61972291779391,94376,1570,small population,medium deaths,low cases
996,Lycoming,Pennsylvania,114859,56457,58402,41.4,Northeast,50.84669028983362,34777,590,small population,low deaths,low cases
997,Lyman,South Dakota,3869,2017,1852,36.0,Midwest,47.86766606358232,1429,14,small population,low deaths,low cases
998,Lynchburg,Virginia,80131,37515,42616,28.2,South,53.18291297999526,24242,326,small population,low deaths,low cases
999,Lynn,Texas,5808,2977,2831,38.2,South,48.7431129476584,1704,41,small population,low deaths,low cases
1000,Lyon,Iowa,11769,6013,5756,38.1,Midwest,48.908148525788086,12232,185,small population,low deaths,low cases
1001,Mackinac,Michigan,10817,5463,5354,52.0,Midwest,49.49616344642692,2987,40,small population,low deaths,low cases
1002,Macomb,Michigan,868704,422835,445869,40.8,Midwest,51.32576804066748,299232,4587,small population,medium deaths,medium cases
1003,Macon,Alabama,19054,8790,10264,38.0,South,53.86795423533116,10353,159,small population,low deaths,low cases
1004,Macoupin,Illinois,45719,22602,23117,43.6,Midwest,50.56322316761083,15943,149,small population,low deaths,low cases
1005,Madera,California,155013,74683,80330,33.9,West,51.82146013560153,54990,388,small population,low deaths,low cases
1006,Madison,Alabama,357560,174665,182895,38.5,South,51.1508558004251,3162,48,small population,low deaths,low cases
1007,Magoffin,Kentucky,12666,6348,6318,42.1,South,49.88157271435339,5140,62,small population,low deaths,low cases
1008,Mahaska,Iowa,22208,11252,10956,39.7,Midwest,49.3335734870317,5780,95,small population,low deaths,low cases
1009,Mahnomen,Minnesota,5506,2728,2778,35.9,Midwest,50.45405012713403,2171,19,small population,low deaths,low cases
1010,Mahoning,Ohio,231064,112742,118322,43.5,Midwest,51.20745767406433,66837,1184,small population,medium deaths,low cases
1011,Major,Oklahoma,7718,3795,3923,41.1,South,50.829230370562314,2528,44,small population,low deaths,low cases
1012,Malheur,Oregon,30431,16581,13850,35.9,West,45.512799447931386,9666,126,small population,low deaths,low cases
1013,Manassas,Virginia,41457,20775,20682,33.7,South,49.88783558868225,11834,80,small population,low deaths,low cases
1014,Manassas Park,Virginia,16423,8568,7855,35.3,South,47.82926383730135,4886,31,small population,low deaths,low cases
1015,Manatee,Florida,373853,180595,193258,48.0,South,51.69358009698999,122725,1702,small population,medium deaths,medium cases
1016,Manistee,Michigan,24444,12658,11786,49.2,Midwest,48.21633120602193,4853,107,small population,low deaths,low cases
1017,Manitowoc,Wisconsin,79407,39451,39956,44.7,Midwest,50.31798204188548,25094,220,small population,low deaths,low cases
1018,Marathon,Wisconsin,135264,67976,67288,40.6,Midwest,49.74568251715164,49228,546,small population,low deaths,low cases
1019,Marengo,Alabama,19538,9446,10092,42.7,South,51.65318865799979,6078,116,small population,low deaths,low cases
1020,Maricopa,Arizona,4253913,2104145,2149768,36.1,West,50.536247450288705,1526029,18812,large population,high deaths,high cases
1021,Maries,Missouri,8884,4449,4435,45.0,Midwest,49.92120666366501,1955,42,small population,low deaths,low cases
1022,Marin,California,260295,127113,133182,46.5,West,51.16579265832997,54594,317,small population,low deaths,low cases
1023,Marinette,Wisconsin,40537,20375,20162,48.3,Midwest,49.73727705552952,14472,149,small population,low deaths,low cases
1024,Marion,Alabama,29965,14898,15067,44.3,South,50.28199566160521,20272,208,small population,low deaths,low cases
1025,Mariposa,California,17540,8920,8620,51.4,West,49.1448118586089,4533,42,small population,low deaths,low cases
1026,Marlboro,South Carolina,27131,14236,12895,40.3,South,47.52865725553795,9911,117,small population,low deaths,low cases
1027,Marquette,Michigan,66939,33703,33236,39.0,Midwest,49.651174950327906,4631,71,small population,low deaths,low cases
1028,Marshall,Alabama,95145,46977,48168,38.7,South,50.62588680435125,11200,171,small population,low deaths,low cases
1029,Martin,Florida,157581,78002,79579,51.9,South,50.50037758359193,1409,26,small population,low deaths,low cases
1030,Martinsville,Virginia,13101,5867,7234,40.8,South,55.21715899549653,4546,126,small population,low deaths,low cases
1031,Mason,Illinois,13778,6838,6940,45.3,Midwest,50.37015532007548,8899,111,small population,low deaths,low cases
1032,Massac,Illinois,14430,6794,7636,43.8,Midwest,52.91753291753292,4638,72,small population,low deaths,low cases
1033,Matagorda,Texas,36743,18319,18424,37.8,South,50.142884358925514,10283,185,small population,low deaths,low cases
1034,Matanuska-Susitna,Alaska,103464,53912,49552,35.0,West,47.8929869326529,40705,277,small population,low deaths,low cases
1035,Mathews,Virginia,8796,4292,4504,52.9,South,51.20509322419281,2059,28,small population,low deaths,low cases
1036,Maui,Hawaii,165281,82437,82844,41.1,West,50.123123650026315,45354,183,small population,low deaths,low cases
1037,Maury,Tennessee,89776,43111,46665,38.8,South,51.97937087863126,34959,383,small population,low deaths,low cases
1038,Maverick,Texas,57970,28736,29234,29.6,South,50.42953251681904,24140,479,small population,low deaths,low cases
1039,Mayes,Oklahoma,40980,20435,20545,40.3,South,50.13421181063934,13229,176,small population,low deaths,low cases
1040,McClain,Oklahoma,38634,19191,19443,38.4,South,50.32613759900606,14689,144,small population,low deaths,low cases
1041,McCone,Montana,1630,828,802,50.1,West,49.20245398773006,452,9,small population,low deaths,low cases
1042,McCook,South Dakota,5511,2771,2740,40.0,Midwest,49.71874432952277,1495,32,small population,low deaths,low cases
1043,McCormick,South Carolina,9606,5334,4272,53.9,South,44.47220487195503,2752,42,small population,low deaths,low cases
1044,McCracken,Kentucky,65284,31193,34091,42.1,South,52.21953311684333,23893,311,small population,low deaths,low cases
1045,McCreary,Kentucky,17635,9613,8022,40.0,South,45.48908420754182,7695,90,small population,low deaths,low cases
1046,McCulloch,Texas,8098,4260,3838,44.6,South,47.39441837490738,1927,51,small population,low deaths,low cases
1047,McCurtain,Oklahoma,32966,16217,16749,38.8,South,50.80689194928107,9694,176,small population,low deaths,low cases
1048,McDonald,Missouri,22827,11635,11192,38.3,Midwest,49.02965786130459,6182,79,small population,low deaths,low cases
1049,McDonough,Illinois,30875,15009,15866,32.1,Midwest,51.38785425101214,8998,108,small population,low deaths,low cases
1050,McDowell,North Carolina,45109,22833,22276,43.6,South,49.38260657518455,7420,87,small population,low deaths,low cases
1051,McDuffie,Georgia,21498,9999,11499,37.6,South,53.48869662294167,6159,114,small population,low deaths,low cases
1052,McHenry,Illinois,307789,153382,154407,40.2,Midwest,50.16651017417777,1569,31,small population,low deaths,low cases
1053,McIntosh,Georgia,14120,7036,7084,49.7,South,50.169971671388105,5547,132,small population,low deaths,low cases
1054,McKean,Pennsylvania,41806,21531,20275,42.9,Northeast,48.497823278955174,9770,174,small population,low deaths,low cases
1055,McKenzie,North Dakota,12536,6822,5714,30.7,Midwest,45.58072750478622,3640,25,small population,low deaths,low cases
1056,McKinley,New Mexico,72849,35158,37691,32.0,West,51.73852763936362,33005,653,small population,low deaths,low cases
1057,McLean,Illinois,173219,84245,88974,32.9,Midwest,51.36503501348004,3170,49,small population,low deaths,low cases
1058,McLennan,Texas,248429,121359,127070,33.2,South,51.14942297396842,74888,968,small population,low deaths,low cases
1059,McLeod,Minnesota,35825,17922,17903,40.6,Midwest,49.973482205164,12974,122,small population,low deaths,low cases
1060,McMinn,Tennessee,52773,25537,27236,42.7,South,51.609724669812216,19964,286,small population,low deaths,low cases
1061,McMullen,Texas,662,387,275,40.2,South,41.54078549848943,186,10,small population,low deaths,low cases
1062,McNairy,Tennessee,25903,12685,13218,42.9,South,51.02883835849129,9542,143,small population,low deaths,low cases
1063,McPherson,Kansas,28630,14159,14471,41.1,Midwest,50.54488298987077,531,16,small population,low deaths,low cases
1064,Meade,Kansas,4261,2129,2132,37.3,Midwest,50.03520300398967,8345,68,small population,low deaths,low cases
1065,Meagher,Montana,1968,966,1002,45.9,West,50.91463414634146,596,12,small population,low deaths,low cases
1066,Mecklenburg,North Carolina,1054314,506721,547593,35.0,South,51.9383219799794,7848,148,medium population,low deaths,low cases
1067,Mecosta,Michigan,43264,21844,21420,36.5,Midwest,49.50998520710059,10271,127,small population,low deaths,low cases
1068,Medina,Ohio,177257,87695,89562,41.9,Midwest,50.5266364656967,12157,212,small population,low deaths,low cases
1069,Meeker,Minnesota,23079,11727,11352,42.5,Midwest,49.187573118419344,7130,82,small population,low deaths,low cases
1070,Meigs,Ohio,23160,11474,11686,43.6,Midwest,50.457685664939554,4158,63,small population,low deaths,low cases
1071,Mellette,South Dakota,2055,1026,1029,33.0,Midwest,50.07299270072993,651,8,small population,low deaths,low cases
1072,Menard,Illinois,12367,6043,6324,42.9,Midwest,51.13608797606533,656,13,small population,low deaths,low cases
1073,Mendocino,California,87422,43439,43983,42.8,West,50.31113449703736,21667,143,small population,low deaths,low cases
1074,Menifee,Kentucky,6405,3421,2984,46.2,South,46.58860265417643,2354,36,small population,low deaths,low cases
1075,Menominee,Michigan,23234,11781,11453,48.2,Midwest,49.29413790135147,2369,16,small population,low deaths,low cases
1076,Merced,California,269075,135816,133259,30.9,West,49.524853665334945,88999,903,small population,low deaths,low cases
1077,Mercer,Illinois,15693,7798,7895,44.8,Midwest,50.30905499267189,23292,290,small population,low deaths,low cases
1078,Meriwether,Georgia,21113,10221,10892,41.6,South,51.58906834651636,5554,158,small population,low deaths,low cases
1079,Merrick,Nebraska,7803,3919,3884,43.6,Midwest,49.7757272843778,2052,25,small population,low deaths,low cases
1080,Merrimack,New Hampshire,149452,73538,75914,42.8,Northeast,50.7949040494607,40097,305,small population,low deaths,low cases
1081,Mesa,Colorado,149998,74027,75971,39.1,West,50.64800864011521,51670,635,small population,low deaths,low cases
1082,Metcalfe,Kentucky,10004,4923,5081,43.4,South,50.78968412634946,3709,77,small population,low deaths,low cases
1083,Miami,Indiana,35901,19084,16817,40.0,Midwest,46.842706331299965,31739,518,small population,low deaths,low cases
1084,Miami-Dade,Florida,2715516,1318627,1396889,39.7,South,51.44101526192444,1538402,12126,large population,high deaths,high cases
1085,Middlesex,Connecticut,163368,79676,83692,45.4,Northeast,51.22912687919299,2514,55,small population,low deaths,low cases
1086,Midland,Michigan,83389,40980,42409,41.7,Midwest,50.85682763913706,47911,516,small population,low deaths,low cases
1087,Mifflin,Pennsylvania,46362,22744,23618,43.8,Northeast,50.94258228721799,15100,304,small population,low deaths,low cases
1088,Milam,Texas,24664,12343,12321,41.3,South,49.9554005838469,5999,109,small population,low deaths,low cases
1089,Millard,Utah,12733,6545,6188,35.8,West,48.598130841121495,0,0,small population,low deaths,low cases
1090,Mille Lacs,Minnesota,25728,12866,12862,40.4,Midwest,49.9922263681592,8360,135,small population,low deaths,low cases
1091,Miller,Arkansas,43759,21476,22283,38.9,South,50.92209602596037,7033,128,small population,low deaths,low cases
1092,Mills,Iowa,14957,7516,7441,42.1,Midwest,49.74928127298255,1620,39,small population,low deaths,low cases
1093,Milwaukee,Wisconsin,954209,461670,492539,34.7,Midwest,51.61751775554412,340082,2488,small population,medium deaths,medium cases
1094,Miner,South Dakota,2229,1152,1077,44.1,Midwest,48.31763122476447,536,15,small population,low deaths,low cases
1095,Mineral,Colorado,823,402,421,58.6,West,51.1543134872418,10196,167,small population,low deaths,low cases
1096,Mingo,West Virginia,24741,12024,12717,42.7,South,51.4005092761004,9976,135,small population,low deaths,low cases
1097,Minidoka,Idaho,20615,10377,10238,35.2,West,49.66286684453068,4781,71,small population,low deaths,low cases
1098,Minnehaha,South Dakota,186749,94085,92664,34.7,Midwest,49.61954280879684,64927,564,small population,low deaths,low cases
1099,Missaukee,Michigan,15006,7668,7338,43.7,Midwest,48.900439824070375,3572,69,small population,low deaths,low cases
1100,Mississippi,Arkansas,42831,20876,21955,36.2,South,51.259601690364455,4406,64,small population,low deaths,low cases
1101,Missoula,Montana,115983,58372,57611,35.6,West,49.67193468008242,33786,224,small population,low deaths,low cases
1102,Mitchell,Georgia,22432,11683,10749,38.9,South,47.91815263908702,2111,52,small population,low deaths,low cases
1103,Mobile,Alabama,414659,197928,216731,37.6,South,52.26728468452391,134503,1781,small population,medium deaths,medium cases
1104,Modoc,California,8938,4613,4325,47.7,West,48.38890132020586,1323,11,small population,low deaths,low cases
1105,Moffat,Colorado,13060,6698,6362,37.8,West,48.71362940275651,3725,55,small population,low deaths,low cases
1106,Mohave,Arizona,206064,104047,102017,50.9,West,49.507434583430395,67042,1665,small population,medium deaths,low cases
1107,Moniteau,Missouri,15958,8413,7545,37.9,Midwest,47.280360947487154,4364,61,small population,low deaths,low cases
1108,Monmouth,New Jersey,623387,303154,320233,43.2,Northeast,51.36985532261661,222745,2377,small population,medium deaths,medium cases
1109,Mono,California,14174,7341,6833,38.3,West,48.207986454070834,3623,8,small population,low deaths,low cases
1110,Monona,Iowa,8796,4283,4513,46.5,Midwest,51.30741246020919,2083,53,small population,low deaths,low cases
1111,Monongalia,West Virginia,105252,54501,50751,31.2,South,48.21856116748376,31285,218,small population,low deaths,low cases
1112,Monroe,Alabama,21512,10230,11282,42.3,South,52.44514689475641,14711,111,small population,low deaths,low cases
1113,Montague,Texas,19409,9403,10006,43.4,South,51.55340306043587,5368,136,small population,low deaths,low cases
1114,Montcalm,Michigan,63209,32595,30614,40.7,Midwest,48.43297631666377,17902,245,small population,low deaths,low cases
1115,Monterey,California,433212,220967,212245,34.1,West,48.993333518000426,120991,796,small population,low deaths,medium cases
1116,Montezuma,Colorado,25909,12760,13149,44.4,West,50.75070438843645,7640,90,small population,low deaths,low cases
1117,Montgomery,Alabama,226941,107354,119587,36.2,South,52.69519390502377,25021,189,small population,low deaths,low cases
1118,Montmorency,Michigan,9261,4665,4596,55.7,Midwest,49.6274700356333,1986,53,small population,low deaths,low cases
1119,Montour,Pennsylvania,18294,8846,9448,43.0,Northeast,51.64534820159615,5959,98,small population,low deaths,low cases
1120,Montrose,Colorado,41268,20374,20894,45.1,West,50.6300281089464,11172,183,small population,low deaths,low cases
1121,Moody,South Dakota,6506,3302,3204,40.4,Midwest,49.24684906240394,1686,29,small population,low deaths,low cases
1122,Moore,North Carolina,95629,46002,49627,44.5,South,51.8953455541729,6331,115,small population,low deaths,low cases
1123,Mora,New Mexico,4563,2230,2333,49.2,West,51.12864343633574,984,22,small population,low deaths,low cases
1124,Morehouse,Louisiana,25992,12444,13548,39.6,South,52.123730378578024,8477,145,small population,low deaths,low cases
1125,Morgan,Alabama,119122,58660,60462,40.4,South,50.75636742163496,5212,78,small population,low deaths,low cases
1126,Morrill,Nebraska,4841,2445,2396,42.5,Midwest,49.49390621772361,1347,36,small population,low deaths,low cases
1127,Morris,Kansas,5566,2753,2813,47.7,Midwest,50.53898670499461,3002,75,small population,low deaths,low cases
1128,Morrison,Minnesota,32949,16639,16310,42.1,Midwest,49.50074357340131,11096,120,small population,low deaths,low cases
1129,Morrow,Ohio,34976,17461,17515,41.7,Midwest,50.07719579139982,3390,37,small population,low deaths,low cases
1130,Morton,Kansas,2838,1449,1389,43.1,Midwest,48.94291754756871,13165,142,small population,low deaths,low cases
1131,Motley,Texas,1156,580,576,38.3,South,49.82698961937716,325,13,small population,low deaths,low cases
1132,Moultrie,Illinois,14703,7172,7531,40.3,Midwest,51.22083928449976,4909,51,small population,low deaths,low cases
1133,Mountrail,North Dakota,10152,5489,4663,33.5,Midwest,45.93183609141056,3854,37,small population,low deaths,low cases
1134,Mower,Minnesota,39602,20045,19557,39.1,Midwest,49.38386950154033,13809,82,small population,low deaths,low cases
1135,Muhlenberg,Kentucky,31081,15286,15795,42.4,South,50.818828223030145,13269,135,small population,low deaths,low cases
1136,Multnomah,Oregon,798647,395653,402994,37.0,West,50.45958978121748,170832,1478,small population,medium deaths,medium cases
1137,Murray,Georgia,39557,19522,20035,38.2,South,50.64843137750587,5314,85,small population,low deaths,low cases
1138,Muscatine,Iowa,42950,21476,21474,38.1,Midwest,49.9976717112922,11221,139,small population,low deaths,low cases
1139,Muscogee,Georgia,196670,96279,100391,33.9,South,51.04540601006763,45739,925,small population,low deaths,low cases
1140,Muskegon,Michigan,173043,86083,86960,39.3,Midwest,50.25340522297926,48540,717,small population,low deaths,low cases
1141,Muskingum,Ohio,86076,41719,44357,40.2,Midwest,51.53236674566662,31446,323,small population,low deaths,low cases
1142,Muskogee,Oklahoma,69084,33709,35375,37.9,South,51.20577847258409,24274,381,small population,low deaths,low cases
1143,Musselshell,Montana,4807,2399,2408,48.0,West,50.09361348034117,1099,31,small population,low deaths,low cases
1144,Nacogdoches,Texas,65558,31365,34193,30.6,South,52.15686872692883,14882,278,small population,low deaths,low cases
1145,Nance,Nebraska,3554,1769,1785,44.3,Midwest,50.22509848058525,883,17,small population,low deaths,low cases
1146,Nantucket,Massachusetts,11101,5650,5451,40.1,Northeast,49.103684352761015,0,0,small population,low deaths,low cases
1147,Napa,California,140530,70082,70448,41.1,West,50.13022130505942,35842,165,small population,low deaths,low cases
1148,Nash,North Carolina,94003,45125,48878,41.4,South,51.996212886822754,32573,372,small population,low deaths,low cases
1149,Nassau,Florida,80578,39956,40622,45.0,South,50.413264166397774,549547,4328,small population,medium deaths,high cases
1150,Natchitoches,Louisiana,38963,18622,20341,33.7,South,52.20593896773862,13008,188,small population,low deaths,low cases
1151,Natrona,Wyoming,80610,40816,39794,36.6,West,49.36608361245503,25791,307,small population,low deaths,low cases
1152,Navajo,Arizona,108705,54533,54172,36.4,West,49.83395427993192,48052,970,small population,low deaths,low cases
1153,Navarro,Texas,48583,23845,24738,38.6,South,50.919045756746186,14445,233,small population,low deaths,low cases
1154,Nelson,Kentucky,45388,22492,22896,39.5,South,50.445051555477214,3247,40,small population,low deaths,low cases
1155,Nemaha,Kansas,10104,5119,4985,39.9,Midwest,49.3368962787015,1590,31,small population,low deaths,low cases
1156,Neosho,Kansas,16125,7923,8202,40.1,Midwest,50.86511627906977,6079,80,small population,low deaths,low cases
1157,Neshoba,Mississippi,29376,13988,15388,36.8,South,52.38289760348584,12777,247,small population,low deaths,low cases
1158,Ness,Kansas,2955,1493,1462,48.7,Midwest,49.47546531302877,896,19,small population,low deaths,low cases
1159,Nevada,Arkansas,8440,4425,4015,44.8,South,47.57109004739337,22422,132,small population,low deaths,low cases
1160,New Castle,Delaware,555133,268870,286263,38.1,South,51.56656152669721,186739,1598,small population,medium deaths,medium cases
1161,New Hanover,North Carolina,224231,107274,116957,38.7,South,52.159157297608274,64406,462,small population,low deaths,low cases
1162,New Haven,Connecticut,859339,414311,445028,40.1,Northeast,51.78724577844134,257121,3145,small population,medium deaths,medium cases
1163,New Kent,Virginia,21103,10603,10500,43.7,South,49.75595886840733,5947,45,small population,low deaths,low cases
1164,New London,Connecticut,268881,134703,134178,41.4,Northeast,49.90237316879958,73660,771,small population,low deaths,low cases
1165,New Madrid,Missouri,17811,8558,9253,41.7,Midwest,51.95104149121329,6089,91,small population,low deaths,low cases
1166,New York,New York,1632480,772144,860336,37.3,Northeast,52.7011663236303,594091,6172,medium population,high deaths,high cases
1167,Newaygo,Michigan,48142,24149,23993,42.5,Midwest,49.83797931120436,13668,183,small population,low deaths,low cases
1168,Newberry,South Carolina,38068,18536,19532,41.5,South,51.30818535252706,16442,222,small population,low deaths,low cases
1169,Newport,Rhode Island,83075,40948,42127,45.0,Northeast,50.709599759253685,26333,104,small population,low deaths,low cases
1170,Newport News,Virginia,180145,87221,92924,33.3,South,51.58289155957701,49666,459,small population,low deaths,low cases
1171,Newton,Arkansas,7848,3932,3916,49.1,South,49.89806320081549,1739,64,small population,low deaths,low cases
1172,Nez Perce,Idaho,40155,19758,20397,40.9,West,50.79566679118416,10570,161,small population,low deaths,low cases
1173,Niagara,New York,211704,103127,108577,43.2,Northeast,51.28717454559196,59786,632,small population,low deaths,low cases
1174,Nicholas,Kentucky,7100,3369,3731,41.5,South,52.54929577464789,9342,112,small population,low deaths,low cases
1175,Nicollet,Minnesota,33783,16937,16846,36.3,Midwest,49.8653168753515,9837,75,small population,low deaths,low cases
